,Unnamed: 0,ID,WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,AantalInwoners_5,Mannen_6,Vrouwen_7,k_0Tot15Jaar_8,k_15Tot25Jaar_9,k_25Tot45Jaar_10,k_45Tot65Jaar_11,k_65JaarOfOuder_12,GeboorteTotaal_24,GeboorteRelatief_25,SterfteTotaal_26,SterfteRelatief_27,HuishoudensTotaal_28,Eenpersoonshuishoudens_29,HuishoudensZonderKinderen_30,HuishoudensMetKinderen_31,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,PercentageBewoond_38,PercentageOnbewoond_39,Koopwoningen_40,HuurwoningenTotaal_41,Appartement_48,Tussenwoning_49,Hoekwoning_50,TweeOnderEenKapWoning_51,VrijstaandeWoning_52,AfstandTotHuisartsenpraktijk_94,AfstandTotGroteSupermarkt_95,AfstandTotKinderdagverblijf_96,AfstandTotSchool_97,ScholenBinnen3Km_98,TotaleOppervlakte_4,BouwgrondOpp
0,0,0,Nederland,Nederland                               ,Land      ,NL00      ,17081507,8475102,8606405,2781768,2101648,4214276,4824155,3159660,169836,9,150214,8,7794075,2961228,2247191,2585656,2.2,507.0,95.0,5.0,56.0,43.0,2050.0,2990.0,3100.0,3430.0,4040.0,1.0,0.9,0.8,0.7,11.2,4154302,434426
1,1,1,Aa en Hunze,Aa en Hunze                             ,Gemeente  ,GM1680    ,25286,12603,12683,3572,2558,4383,8467,6306,164,6,265,10,10991,3087,4320,3584,2.2,92.0,95.0,5.0,71.0,28.0,1940.0,2370.0,2640.0,3090.0,3700.0,2.5,2.3,1.1,1.2,1.8,27887,5992
2,2,2,Wijk 00 Annen,Aa en Hunze                             ,Wijk      ,WK168000  ,3545,1710,1835,555,350,615,1155,855,35,9,35,10,1535,425,580,535,2.3,242.0,96.0,4.0,70.0,26.0,1630.0,2480.0,2860.0,3300.0,3810.0,1.0,0.9,0.5,0.8,2.4,1478,53
3,3,3,Annen,Aa en Hunze                             ,Buurt     ,BU16800000,3395,1635,1760,545,335,600,1085,820,30,10,30,9,1470,415,545,515,2.3,1345.0,96.0,4.0,69.0,27.0,1630.0,2480.0,2860.0,3300.0,3720.0,0.9,0.8,0.5,0.7,2.5,252,3
4,4,4,Verspreide huizen Annen,Aa en Hunze                             ,Buurt     ,BU16800009,150,80,75,10,10,15,65,35,0,0,5,33,65,15,30,20,2.3,12.0,97.0,3.0,97.0,3.0,,,,,4830.0,2.7,2.1,1.7,2.1,1.2,1226,49
5,5,5,Wijk 01 Eext,Aa en Hunze                             ,Wijk      ,WK168001  ,1420,720,705,210,145,285,480,285,5,4,10,6,630,180,250,200,2.2,80.0,97.0,3.0,79.0,21.0,2060.0,1970.0,2440.0,3190.0,3550.0,3.5,0.9,1.3,1.1,1.0,1789,418
6,6,6,Eext,Aa en Hunze                             ,Buurt     ,BU16800100,1245,635,615,200,130,260,405,235,5,4,5,5,540,155,205,185,2.3,730.0,97.0,3.0,78.0,22.0,2060.0,1970.0,2440.0,3150.0,3590.0,3.5,0.7,1.2,0.9,1.0,171,4
7,7,7,Verspreide huizen Eext,Aa en Hunze                             ,Buurt     ,BU16800109,175,85,90,10,10,25,70,50,0,5,0,11,85,25,45,15,2.0,11.0,94.0,6.0,91.0,9.0,,,,,3340.0,3.5,2.6,1.9,2.1,1.3,1618,414
8,8,8,Wijk 02 Anloo,Aa en Hunze                             ,Wijk      ,WK168002  ,465,235,230,50,45,65,170,125,0,6,0,2,210,65,85,65,2.2,57.0,98.0,2.0,78.0,22.0,,,,2560.0,3910.0,1.9,2.7,2.2,0.5,2.0,816,278
9,9,9,Anloo,Aa en Hunze                             ,Buurt     ,BU16800200,335,160,175,35,35,45,110,95,0,6,0,3,145,40,65,45,2.2,578.0,99.0,1.0,77.0,23.0,,,,2600.0,3760.0,1.9,2.7,2.2,0.4,2.0,57,0
10,10,10,Verspreide huizen Anloo,Aa en Hunze                             ,Buurt     ,BU16800209,135,80,55,15,10,15,55,25,0,7,0,0,65,25,25,15,2.0,17.0,92.0,8.0,88.0,13.0,,,,2280.0,4690.0,1.9,2.8,2.2,0.9,1.9,759,278
11,11,11,Wijk 03 Gasteren,Aa en Hunze                             ,Wijk      ,WK168003  ,410,205,205,30,60,40,160,110,0,2,0,4,170,35,80,55,2.4,45.0,98.0,2.0,90.0,10.0,,3190.0,3540.0,2860.0,3740.0,4.7,5.5,0.5,2.8,0.8,914,128
12,12,12,Gasteren,Aa en Hunze                             ,Buurt     ,BU16800300,400,200,200,30,55,35,155,110,0,2,0,5,165,30,80,55,2.4,735.0,98.0,2.0,90.0,10.0,,3190.0,3540.0,2860.0,3740.0,4.7,5.6,0.5,2.8,0.8,54,8
13,13,13,Verspreide huizen Gasteren,Aa en Hunze                             ,Buurt     ,BU16800309,15,5,10,0,0,0,5,0,0,0,0,0,5,0,5,0,2.4,1.0,,,,,,,,,,4.3,4.9,1.2,2.4,0.6,860,120
14,14,14,Wijk 04 Anderen,Aa en Hunze                             ,Wijk      ,WK168004  ,270,145,125,30,30,30,115,50,0,3,0,3,105,25,50,35,2.4,24.0,97.0,3.0,82.0,17.0,,,,2580.0,3930.0,4.2,3.7,4.2,4.3,0.0,1106,99
15,15,15,Anderen,Aa en Hunze                             ,Buurt     ,BU16800400,240,130,115,25,30,25,100,50,0,4,0,4,95,25,40,30,2.4,557.0,97.0,3.0,83.0,16.0,,,,2580.0,3920.0,4.3,3.7,4.3,4.4,0.0,43,0
