,RegioS,GemiddeldeVerkoopprijs_1,GemiddeldeWOZWaardeVanWoningen_1,GemiddeldeDoorlooptijd_12
0,Nederland,307978.0,29900.0,22.0
1,Noord-Nederland (LD),230412.0,22700.0,20.0
2,Oost-Nederland (LD),281575.0,27900.0,21.0
3,West-Nederland (LD),344342.0,33100.0,22.0
4,Zuid-Nederland (LD),290853.0,28800.0,22.0
5,Groningen (PV),219283.0,21500.0,20.0
6,Fryslân (PV),230643.0,22800.0,
7,Drenthe (PV),241941.0,24000.0,21.0
8,Overijssel (PV),260130.0,26500.0,18.0
9,Flevoland (PV),269589.0,24800.0,20.0
10,Gelderland (PV),296243.0,29400.0,23.0
11,Utrecht (PV),371727.0,36100.0,20.0
12,Noord-Holland (PV),396601.0,37400.0,24.0
13,Zuid-Holland (PV),305261.0,29900.0,22.0
14,Zeeland (PV),242998.0,23700.0,18.0
15,Noord-Brabant (PV),310254.0,30900.0,21.0
16,Limburg (PV),243850.0,24300.0,25.0
17,Aa en Hunze,284794.0,27600.0,27.0
18,Aalsmeer,409304.0,39300.0,44.0
19,Aalten,226080.0,23400.0,16.0
20,Achtkarspelen,216483.0,21700.0,11.0
21,Alblasserdam,268447.0,25700.0,13.0
22,Albrandswaard,361942.0,33000.0,17.0
23,Alkmaar,286883.0,26700.0,31.0
24,Almelo,209973.0,21100.0,26.0
25,Almere,294284.0,25000.0,21.0
26,Alphen aan den Rijn,286500.0,28800.0,28.0
27,Alphen-Chaam,347848.0,36800.0,23.0
28,Altena,291448.0,29100.0,
29,Ameland,321196.0,27400.0,14.0
30,Amersfoort,358651.0,34100.0,20.0
31,Amstelveen,525247.0,49400.0,19.0
32,Amsterdam,484995.0,49500.0,24.0
33,Apeldoorn,287155.0,29500.0,22.0
34,Appingedam,194795.0,18000.0,2.0
35,Arnhem,260635.0,26500.0,18.0
36,Assen,228658.0,22200.0,26.0
37,Asten,334156.0,33700.0,15.0
38,Baarle-Nassau,334058.0,33400.0,29.0
39,Baarn,431161.0,39100.0,17.0
40,Barendrecht,352460.0,32100.0,20.0
41,Barneveld,359070.0,34400.0,17.0
42,Beek,231409.0,23600.0,11.0
43,Beekdaelen,248905.0,24000.0,
44,Beemster,437693.0,41000.0,21.0
45,Beesel,233443.0,23200.0,12.0
46,Berg en Dal,292830.0,29200.0,20.0
47,Bergeijk,335601.0,34000.0,18.0
48,Bergen (L.),240030.0,25500.0,29.0
49,Bergen (NH.),488406.0,44700.0,24.0
50,Bergen op Zoom,255679.0,26300.0,15.0
51,Berkelland,265879.0,27900.0,20.0
52,Bernheze,327786.0,34200.0,24.0
53,Best,341016.0,32500.0,27.0
54,Beuningen,299340.0,28700.0,20.0
55,Beverwijk,258905.0,25800.0,16.0
56,De Bilt,481411.0,50000.0,44.0
57,Bladel,334264.0,32300.0,19.0
58,Blaricum,775909.0,71100.0,16.0
59,Bloemendaal,831578.0,80900.0,27.0
60,Bodegraven-Reeuwijk,330097.0,34800.0,18.0
61,Boekel,315919.0,31500.0,23.0
62,Borger-Odoorn,233711.0,22200.0,12.0
63,Borne,270534.0,27700.0,11.0
64,Borsele,241363.0,24600.0,8.0
65,Boxmeer,293693.0,28900.0,22.0
66,Boxtel,337626.0,32000.0,17.0
67,Breda,349971.0,34200.0,26.0
68,Brielle,295460.0,26800.0,23.0
69,Bronckhorst,312686.0,30800.0,29.0
70,Brummen,314125.0,30600.0,16.0
71,Brunssum,174186.0,17200.0,40.0
72,Bunnik,405915.0,38600.0,25.0
73,Bunschoten,326403.0,31900.0,21.0
74,Buren,324945.0,34100.0,17.0
75,Capelle aan den IJssel,265359.0,25500.0,17.0
76,Castricum,369741.0,34600.0,21.0
77,Coevorden,236021.0,23600.0,29.0
78,Cranendonck,283676.0,29100.0,28.0
79,Cuijk,281980.0,26200.0,21.0
80,Culemborg,299647.0,27300.0,14.0
81,Dalfsen,303668.0,32400.0,11.0
82,Dantumadiel,234227.0,22000.0,16.0
83,Delft,311299.0,29700.0,13.0
84,Delfzijl,155120.0,15100.0,12.0
85,Deurne,298007.0,31800.0,13.0
86,Deventer,264234.0,26200.0,20.0
87,Diemen,389213.0,34600.0,26.0
88,Dinkelland,279197.0,31600.0,21.0
89,Doesburg,256299.0,24400.0,18.0
90,Doetinchem,256356.0,25200.0,25.0
91,Dongen,289661.0,28000.0,20.0
92,Dordrecht,237053.0,23300.0,25.0
93,Drechterland,316459.0,30000.0,15.0
94,Drimmelen,289554.0,28400.0,20.0
95,Dronten,255563.0,26500.0,18.0
96,Druten,285068.0,27900.0,10.0
97,Duiven,267400.0,25400.0,48.0
98,Echt-Susteren,241334.0,24100.0,57.0
99,Edam-Volendam,326325.0,30200.0,34.0
100,Ede,302817.0,31500.0,20.0
101,Eemnes,423048.0,38300.0,21.0
102,Eemsdelta,,,
103,Eersel,322493.0,34600.0,23.0
104,Eijsden-Margraten,322239.0,28700.0,26.0
105,Eindhoven,308793.0,30700.0,22.0
106,Elburg,290570.0,29000.0,23.0
