Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
2015-07-05,1.23,115579.5,1635.6,67122.02,5316.06,41505.82,31488.54,10017.28,0.0,conventional,2015,Pittsburgh
2015-06-07,1.8,4777.04,45.84,167.38,0.0,4563.82,4563.82,0.0,0.0,organic,2015,BuffaloRochester
2015-01-18,1.87,1459.37,1054.78,17.92,0.0,386.67,386.67,0.0,0.0,organic,2015,MiamiFtLauderdale
2015-04-05,1.33,742539.71,143671.36,473142.55,35650.7,90075.1,88603.82,1025.45,445.83,conventional,2015,SanFrancisco
2016-10-16,1.95,16843.53,824.95,9095.02,680.3,6243.26,6226.14,17.12,0.0,organic,2016,BaltimoreWashington
2015-01-04,0.94,461607.33,244152.26,165299.33,15302.75,36852.99,30884.29,5595.0,373.7,conventional,2015,SanDiego
2015-07-05,1.98,29929.57,8841.34,20807.76,280.47,0.0,0.0,0.0,0.0,organic,2015,Seattle
2016-08-14,1.48,9978.31,899.71,4522.42,0.0,4556.18,2277.22,2278.96,0.0,organic,2016,Nashville
2015-08-23,1.72,11555.75,4288.75,3541.08,635.31,3090.61,3087.86,2.75,0.0,organic,2015,BaltimoreWashington
2016-10-09,1.29,89506.29,24596.38,27239.36,953.05,36717.5,32322.38,4395.12,0.0,conventional,2016,Pittsburgh
2016-01-10,1.06,3310201.06,503914.83,1753942.06,352247.15,700097.02,488806.3,185907.38,25383.34,conventional,2016,GreatLakes
2015-11-01,1.82,2109.04,1331.43,21.71,12.57,743.33,743.33,0.0,0.0,organic,2015,Jacksonville
2016-06-19,0.99,278178.65,67619.73,122627.22,15409.3,72522.4,67694.0,83.4,4745.0,conventional,2016,RichmondNorfolk
2016-08-14,1.43,9194.34,131.7,3711.8,406.21,4944.63,2673.87,2270.76,0.0,organic,2016,RichmondNorfolk
2015-04-26,1.39,680839.21,107461.85,458055.89,35558.24,79763.23,78503.98,1052.31,206.94,conventional,2015,SanFrancisco
2016-01-03,1.43,704100.5,124799.63,246580.95,7749.4,324970.52,150967.35,174003.17,0.0,organic,2016,TotalUS
2016-08-07,0.85,268010.32,62085.78,28664.77,213.23,177046.54,154944.24,9249.53,12852.77,conventional,2016,StLouis
2017-01-29,1.72,9254.53,364.78,195.77,10.16,8683.82,8622.95,60.87,0.0,organic,2017,HarrisburgScranton
2017-05-21,1.44,155818.85,86716.2,14543.35,99.54,54459.76,25647.12,28151.81,660.83,conventional,2017,Jacksonville
2015-03-22,1.76,1030.98,10.75,746.35,0.0,273.88,113.33,160.55,0.0,organic,2015,Louisville
2016-12-04,1.53,7908.69,893.1,8.76,0.0,7006.83,6547.63,459.2,0.0,organic,2016,Pittsburgh
2015-04-05,1.38,50015.81,716.97,24675.99,20.46,24602.39,24340.17,262.22,0.0,conventional,2015,Syracuse
2015-11-08,1.4,599884.32,165981.13,319176.32,36598.97,78127.9,77364.54,693.33,70.03,conventional,2015,SanFrancisco
2017-01-29,1.13,143828.34,37601.17,50930.88,146.84,55149.45,53902.27,963.85,283.33,conventional,2017,Roanoke
2016-07-31,2.02,14788.87,895.68,10096.25,495.8,3301.14,3301.14,0.0,0.0,organic,2016,BaltimoreWashington
2016-04-10,1.35,1159.5,91.5,301.33,0.0,766.67,766.67,0.0,0.0,organic,2016,Pittsburgh
2016-07-10,0.89,1101543.61,607069.9,208421.56,41628.96,244423.19,201545.27,39452.64,3425.28,conventional,2016,Houston
2017-02-05,1.02,157981.65,67986.6,47941.88,2927.44,39125.73,27741.95,11383.78,0.0,conventional,2017,Pittsburgh
2017-03-19,2.05,2395.16,27.77,1593.25,0.0,774.14,689.51,84.63,0.0,organic,2017,GrandRapids
2015-09-20,1.16,1386951.96,611683.23,506379.84,15441.14,253447.75,237139.11,15090.36,1218.28,conventional,2015,Plains
2015-04-05,1.44,124145.62,969.27,51023.86,95.69,72056.8,71408.88,597.92,50.0,conventional,2015,BuffaloRochester
2016-04-17,0.86,28242.04,912.8,14896.94,0.0,12432.3,1533.45,10898.85,0.0,organic,2016,Nashville
2016-04-03,1.15,543234.89,287271.39,103462.51,72.01,152428.98,54721.55,97707.43,0.0,conventional,2016,MiamiFtLauderdale
2016-08-21,2.08,31252.62,69.71,29470.17,0.0,1712.74,1712.74,0.0,0.0,organic,2016,Chicago
2015-05-17,0.96,77987.53,61319.66,7393.99,2919.87,6354.01,6345.82,0.0,8.19,conventional,2015,Boise
2016-04-17,1.57,2548.55,1072.9,11.55,0.0,1464.1,1464.1,0.0,0.0,organic,2016,MiamiFtLauderdale
2017-06-11,2.39,81679.26,9032.28,33481.66,685.11,38480.21,37772.25,707.96,0.0,organic,2017,NewYork
2015-12-20,1.23,1139347.98,13998.35,867406.68,803.83,257139.12,212615.2,44523.92,0.0,conventional,2015,NewYork
2015-03-15,1.1,1590080.35,839457.23,435373.81,10344.37,304904.94,300231.39,3729.66,943.89,conventional,2015,Plains
2016-01-31,1.02,3318109.53,1774273.7,625042.37,15260.7,903532.76,485345.67,418187.09,0.0,conventional,2016,Southeast
2017-08-06,1.37,235902.96,42012.76,129112.23,58.47,64719.5,59348.16,2124.67,3246.67,conventional,2017,HarrisburgScranton
2015-12-20,1.23,1139347.98,13998.35,867406.68,803.83,257139.12,212615.2,44523.92,0.0,conventional,2015,NewYork
2016-08-28,1.14,18482.13,1480.15,4894.19,0.0,12107.79,1774.14,10333.65,0.0,organic,2016,Atlanta
2015-04-05,1.54,4893.26,235.1,2349.78,523.63,1784.75,1330.0,454.75,0.0,organic,2015,RichmondNorfolk
2015-05-24,0.93,6139159.81,3206247.81,2036656.12,120398.95,775856.93,678849.33,96785.62,221.98,conventional,2015,West
2015-02-08,1.75,3229.47,1576.49,36.31,0.0,1616.67,1616.67,0.0,0.0,organic,2015,Orlando
2017-04-02,1.45,422201.67,12862.0,298461.59,2600.59,108277.49,36643.24,71634.25,0.0,conventional,2017,NorthernNewEngland
2016-05-08,0.93,228601.39,17356.36,106300.33,18838.87,86105.83,54973.21,27766.71,3365.91,conventional,2016,Indianapolis
2015-12-20,1.23,1139347.98,13998.35,867406.68,803.83,257139.12,212615.2,44523.92,0.0,conventional,2015,NewYork
2016-07-10,1.11,131630.13,20970.24,96581.82,46.49,14031.58,10876.0,470.58,2685.0,conventional,2016,Albany
2016-05-01,0.75,7661483.37,2817406.2,2628579.48,291448.73,1924048.96,1421239.87,485685.06,17124.03,conventional,2016,California
2015-12-27,0.99,545064.74,387953.32,44652.25,54.44,112404.73,53606.13,58798.6,0.0,conventional,2015,MiamiFtLauderdale
2015-08-23,1.69,2858.31,482.02,1602.7,0.0,773.59,470.0,303.59,0.0,organic,2015,Indianapolis
2017-05-14,1.62,69358.17,3417.56,21230.05,251.83,44458.73,22549.94,21908.79,0.0,organic,2017,Plains
2016-03-20,1.29,11260.96,5689.85,77.65,7.39,5486.07,4171.43,1314.64,0.0,organic,2016,Houston
2016-06-19,0.99,278178.65,67619.73,122627.22,15409.3,72522.4,67694.0,83.4,4745.0,conventional,2016,RichmondNorfolk
2017-03-19,2.04,2460.96,0.0,111.78,0.0,2349.18,917.98,1431.2,0.0,organic,2017,Syracuse
2016-02-14,1.73,2550.87,1696.11,51.32,13.44,790.0,790.0,0.0,0.0,organic,2016,Jacksonville
2015-11-22,0.98,215985.17,87241.86,91574.86,3926.84,33241.61,31653.96,1587.65,0.0,conventional,2015,LasVegas
2017-03-19,1.39,2975356.86,463863.64,1224340.81,212871.38,1074281.03,650674.32,377140.01,46466.7,conventional,2017,GreatLakes
2016-06-19,0.99,278178.65,67619.73,122627.22,15409.3,72522.4,67694.0,83.4,4745.0,conventional,2016,RichmondNorfolk
2016-06-05,0.76,3715458.49,1596545.36,650812.6,121002.86,1347097.67,1196472.82,124721.49,25903.36,conventional,2016,LosAngeles
2016-03-13,1.52,6967.87,2392.51,3420.52,0.0,1154.84,562.71,592.13,0.0,organic,2016,Atlanta
