Column,Columns,Percent missing (NA),Zeros,Potential total missingness percentage in column
work_year,work_year,0.0,0,0.0
experience_level,experience_level,0.0,0,0.0
employment_type,employment_type,0.0,0,0.0
job_title,job_title,0.0,0,0.0
salary,salary,0.0,0,0.0
salary_currency,salary_currency,0.0,0,0.0
salary_in_usd,salary_in_usd,0.0,0,0.0
employee_residence,employee_residence,0.0,0,0.0
remote_ratio,remote_ratio,0.0,1923,51.21
company_location,company_location,0.0,0,0.0
company_size,company_size,0.0,0,0.0
