,Row number,Outlier Probability Score,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2835,2835,0.9999999999993108,2022,SE,FT,Data Engineer,193000,USD,193000,ES,100,US,M
3704,3704,0.9999999995791155,2021,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M
81,81,0.999999996470778,2023,SE,FT,Machine Learning Engineer,150000,USD,150000,PT,100,US,M
3451,3451,0.9999999959074835,2022,SE,FT,Data Scientist,100000,USD,100000,BR,100,US,M
2685,2685,0.9999996853287342,2022,SE,CT,Data Analyst,90000,USD,90000,US,100,US,M
3479,3479,0.9993746449029506,2022,MI,FL,Data Scientist,100000,USD,100000,CA,100,US,M
3437,3437,0.9991230811630659,2022,SE,FT,Head of Data,200000,USD,200000,MY,100,US,M
493,493,0.9968183389422111,2023,SE,FT,AI Developer,108000,USD,108000,UA,0,UA,M
901,901,0.9967323844743231,2023,MI,FT,Machine Learning Scientist,125000,USD,125000,US,0,US,S
1947,1947,0.9942894706417016,2022,SE,FT,AI Scientist,125000,USD,125000,CO,100,CO,L
3740,3740,0.9919785873665663,2020,SE,FT,Data Science Manager,190200,USD,190200,US,100,US,M
438,438,0.9847824933626337,2023,SE,FT,Data Scientist,113750,USD,113750,IE,0,IE,M
2120,2120,0.9780485790635893,2022,SE,FT,Data Analyst,171000,USD,171000,US,100,AU,L
1545,1545,0.9680033839982114,2023,SE,FT,Computer Vision Engineer,200000,USD,200000,US,100,US,S
3234,3234,0.9670759424643084,2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S
3235,3235,0.9670759424643084,2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S
900,900,0.9647240140518247,2023,MI,FT,Machine Learning Scientist,200000,USD,200000,US,0,US,S
528,528,0.9583552093223658,2023,SE,FT,AI Scientist,1500000,ILS,423834,IL,0,IL,L
678,678,0.9443597548995676,2023,SE,FT,Data Manager,48000,USD,48000,CO,0,CO,M
677,677,0.9396154920937423,2023,SE,FT,Data Manager,65000,USD,65000,CO,0,CO,M
660,660,0.9339069221664433,2023,SE,FT,Applied Machine Learning Scientist,90000,USD,90000,US,100,US,L
219,219,0.9332907492013265,2023,MI,FT,AI Developer,100000,SGD,75020,FI,0,FI,M
3631,3631,0.9131541916105312,2021,SE,CT,Staff Data Scientist,105000,USD,105000,US,100,US,M
3743,3743,0.9095166358509826,2020,MI,FT,Data Engineer,130800,USD,130800,ES,100,US,M
2932,2932,0.9028083136039929,2022,MI,FT,Applied Machine Learning Scientist,75000,USD,75000,BO,100,US,M
3635,3635,0.8968849423890898,2021,MI,FT,Data Engineer,111775,USD,111775,US,0,US,M
3522,3522,0.8937615878645495,2020,MI,FT,Research Scientist,450000,USD,450000,US,0,US,M
856,856,0.8918934497649207,2023,SE,FL,Software Data Engineer,50000,USD,50000,NG,50,AU,M
2572,2572,0.8797023252089194,2022,SE,FT,Data Science Lead,165000,USD,165000,US,50,US,S
3011,3011,0.8770754885189358,2022,SE,FT,Data Engineer,135000,USD,135000,PR,100,PR,M
2763,2763,0.8770754885189358,2022,SE,FT,Machine Learning Engineer,135000,USD,135000,PR,100,PR,M
3450,3450,0.8768403069246643,2022,MI,FT,Machine Learning Scientist,153000,USD,153000,US,50,US,M
1109,1109,0.8706440083675819,2023,SE,FT,Data Analyst,80000,USD,80000,US,100,US,S
494,494,0.8556933558990053,2023,SE,FT,AI Developer,60000,USD,60000,UA,0,UA,M
3010,3010,0.8216669666246088,2022,SE,FT,Data Engineer,200000,USD,200000,PR,100,PR,M
2762,2762,0.8216669666246088,2022,SE,FT,Machine Learning Engineer,200000,USD,200000,PR,100,PR,M
2970,2970,0.8195241421354464,2022,MI,FT,Applied Machine Learning Scientist,173000,USD,173000,US,50,US,M
3672,3672,0.818393604796036,2021,SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,US,M
3691,3691,0.8174431191141996,2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,M
2118,2118,0.8158980106117599,2020,MI,FT,Business Data Analyst,95000,USD,95000,US,0,US,M
3521,3521,0.8096294409833856,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M
